"run_id","script_id","model_id","provider","thinking_level","pages_sent","input_tokens","output_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"SE_11_Q1_0001-0","SE_11_Q1_0001","gemma-4-31b-it","gemini","medium","15","5354","2400","0.0012553999999999998","311297","2","200","2026-08-24T15:49:26.393833+00:00"
"SE_11_Q1_0002-0","SE_11_Q1_0002","gemma-4-31b-it","gemini","medium","19","6386","2772","0.0014702","212219","1","200","2026-08-24T15:47:47.756510+00:00"
"SE_11_Q1_0003-0","SE_11_Q1_0003","gemma-4-31b-it","gemini","medium","21","6902","3126","0.001628","339828","1","200","2026-08-24T15:49:55.503168+00:00"
"SE_11_Q1_0004-0","SE_11_Q1_0004","gemma-4-31b-it","gemini","medium","17","5870","2600","0.0013670000000000002","217530","1","200","2026-08-24T15:51:25.431204+00:00"
"SE_11_Q1_0005-0","SE_11_Q1_0005","gemma-4-31b-it","gemini","medium","14","5096","2268","0.00119","229077","1","200","2026-08-24T15:53:15.589510+00:00"
"SE_11_Q1_0006-0","SE_11_Q1_0006","gemma-4-31b-it","gemini","medium","17","5870","2551","0.0013522999999999999","158405","1","200","2026-08-24T21:56:06.370854+00:00"
"SE_11_Q1_0007-0","SE_11_Q1_0007","gemma-4-31b-it","gemini","medium","14","5096","2886","0.0013754000000000001","211545","1","200","2026-08-24T21:56:59.815101+00:00"
"SE_11_Q1_0008-0","SE_11_Q1_0008","gemma-4-31b-it","gemini","medium","18","6128","2709","0.0014255000000000001","233015","1","200","2026-08-24T21:57:21.538986+00:00"
"SE_11_Q1_0009-0","SE_11_Q1_0009","gemma-4-31b-it","gemini","medium","16","5612","2676","0.001364","200795","1","200","2026-08-24T21:59:27.304229+00:00"
"SE_11_Q1_0010-0","SE_11_Q1_0010","gemma-4-31b-it","gemini","medium","7","3290","2080","0.0009529999999999999","200561","1","200","2026-08-24T22:00:20.460096+00:00"
"SE_11_Q1_0011-0","SE_11_Q1_0011","gemma-4-31b-it","gemini","medium","7","3290","2463","0.0010678999999999999","202657","1","200","2026-08-24T22:53:32.897506+00:00"
"SE_11_Q1_0012-0","SE_11_Q1_0012","gemma-4-31b-it","gemini","medium","17","5870","2584","0.0013622","261359","1","200","2026-08-24T22:54:31.842018+00:00"
"SE_11_Q1_0013-0","SE_11_Q1_0013","gemma-4-31b-it","gemini","medium","19","6386","3351","0.0016439","291313","1","200","2026-08-24T22:55:02.123763+00:00"
"SE_11_Q1_0014-0","SE_11_Q1_0014","gemma-4-31b-it","gemini","medium","17","5870","2574","0.0013592","196750","1","200","2026-08-24T22:56:49.791478+00:00"
"SE_11_Q1_0015-0","SE_11_Q1_0015","gemma-4-31b-it","gemini","medium","13","4838","2594","0.001262","263093","1","200","2026-08-24T22:58:55.061537+00:00"
"SE_11_Q1_0016-0","SE_11_Q1_0016","gemma-4-31b-it","gemini","medium","17","5870","2911","0.0014602999999999999","260937","1","200","2026-08-24T22:59:23.236344+00:00"
"SE_11_Q1_0017-0","SE_11_Q1_0017","gemma-4-31b-it","gemini","medium","16","5612","2584","0.0013364","237906","1","200","2026-08-24T23:00:47.830349+00:00"
"SE_11_Q1_0018-0","SE_11_Q1_0018","gemma-4-31b-it","gemini","medium","19","6386","2936","0.0015194","282077","1","200","2026-08-24T23:03:37.289962+00:00"
"SE_11_Q1_0019-0","SE_11_Q1_0019","gemma-4-31b-it","gemini","medium","22","7160","3042","0.0016286","281812","1","200","2026-08-24T23:04:05.228027+00:00"
"SE_11_Q1_0020-0","SE_11_Q1_0020","gemma-4-31b-it","gemini","medium","18","6128","2820","0.0014588000000000001","224608","1","200","2026-08-24T23:04:32.623160+00:00"
