"run_id","exam_set","script_id","model_id","provider","thinking_level","pages_sent","input_tokens","output_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"SE_07_Q1_0000-0","SE_07_Q1","SE_07_Q1_0000","gemma-4-31b-it","gemini","medium","14","6270","1837","0.0011781","422765","3","200","2026-09-16T20:28:28.772109+00:00"
"SE_07_Q1_0001-0","SE_07_Q1","SE_07_Q1_0001","gemma-4-31b-it","gemini","medium","10","5238","2920","0.0013997999999999999","264312","1","200","2026-09-16T20:00:39.972184+00:00"
"SE_07_Q1_0002-0","SE_07_Q1","SE_07_Q1_0002","gemma-4-31b-it","gemini","medium","18","7302","3050","0.0016452","704484","2","200","2026-09-16T20:33:10.787193+00:00"
"SE_07_Q1_0003-0","SE_07_Q1","SE_07_Q1_0003","gemma-4-31b-it","gemini","medium","14","6270","2926","0.0015048000000000001","940687","3","200","2026-09-16T20:37:06.767622+00:00"
"SE_07_Q1_0004-0","SE_07_Q1","SE_07_Q1_0004","gemma-4-31b-it","gemini","medium","17","7044","3098","0.0016338","823421","1","200","2026-09-16T20:35:09.760758+00:00"
"SE_07_Q1_0005-0","SE_07_Q1","SE_07_Q1_0005","gemma-4-31b-it","gemini","medium","16","6786","2389","0.0013953000000000001","546968","1","200","2026-09-16T20:30:33.770078+00:00"
"SE_07_Q1_0006-0","SE_07_Q1","SE_07_Q1_0006","gemma-4-31b-it","gemini","medium","11","5496","2462","0.0012882000000000002","797282","2","200","2026-09-16T20:41:46.196930+00:00"
"SE_07_Q1_0007-0","SE_07_Q1","SE_07_Q1_0007","gemma-4-31b-it","gemini","medium","10","5238","2206","0.0011856","643594","3","200","2026-09-16T20:41:17.486682+00:00"
"SE_07_Q1_0008-0","SE_07_Q1","SE_07_Q1_0008","gemma-4-31b-it","gemini","medium","14","6270","2796","0.0014658","318967","1","200","2026-09-16T20:38:29.954998+00:00"
"SE_07_Q1_0009-0","SE_07_Q1","SE_07_Q1_0009","gemma-4-31b-it","gemini","medium","15","6528","2497","0.0014019000000000002","481467","4","200","2026-09-16T21:36:45.223488+00:00"
"SE_07_Q1_0010-0","SE_07_Q1","SE_07_Q1_0010","gemma-4-31b-it","gemini","medium","15","6528","2403","0.0013737","497858","1","200","2026-09-16T20:45:24.799520+00:00"
"SE_07_Q1_0011-0","SE_07_Q1","SE_07_Q1_0011","gemma-4-31b-it","gemini","medium","9","4980","2185","0.0011535","665750","1","200","2026-09-16T20:49:35.827710+00:00"
"SE_07_Q1_0012-0","SE_07_Q1","SE_07_Q1_0012","gemma-4-31b-it","gemini","medium","19","7560","2506","0.0015078000000000001","300578","1","200","2026-09-16T20:46:18.239395+00:00"
"SE_07_Q1_0013-0","SE_07_Q1","SE_07_Q1_0013","gemma-4-31b-it","gemini","medium","12","5754","2691","0.0013827","403921","1","200","2026-09-16T20:48:30.291334+00:00"
"SE_07_Q1_0014-0","SE_07_Q1","SE_07_Q1_0014","gemma-4-31b-it","gemini","medium","14","6270","2810","0.00147","486530","1","200","2026-09-16T20:53:13.282811+00:00"
"SE_07_Q1_0015-0","SE_07_Q1","SE_07_Q1_0015","gemma-4-31b-it","gemini","medium","17","7044","2711","0.0015176999999999999","450453","1","200","2026-09-16T20:52:55.433481+00:00"
"SE_07_Q1_0016-0","SE_07_Q1","SE_07_Q1_0016","gemma-4-31b-it","gemini","medium","14","6270","2774","0.0014592","401921","1","200","2026-09-16T20:53:00.335662+00:00"
"SE_07_Q1_0017-0","SE_07_Q1","SE_07_Q1_0017","gemma-4-31b-it","gemini","medium","13","6012","2887","0.0014673","403407","1","200","2026-09-16T20:55:13.876739+00:00"
"SE_07_Q1_0018-0","SE_07_Q1","SE_07_Q1_0018","gemma-4-31b-it","gemini","medium","16","6786","2696","0.0014874000000000003","428000","2","200","2026-09-16T20:56:43.987160+00:00"
"SE_07_Q1_0019-0","SE_07_Q1","SE_07_Q1_0019","gemma-4-31b-it","gemini","medium","22","8334","2961","0.0017217","414421","1","200","2026-09-16T20:59:50.094144+00:00"
"SE_07_Q1_0020-0","SE_07_Q1","SE_07_Q1_0020","gemma-4-31b-it","gemini","medium","17","7044","3200","0.0016644","528218","2","200","2026-09-16T21:01:48.745551+00:00"
"SE_07_Q1_0021-0","SE_07_Q1","SE_07_Q1_0021","gemma-4-31b-it","gemini","medium","11","5496","2052","0.0011652","711125","3","200","2026-09-16T21:05:04.532553+00:00"
"SE_07_Q1_0022-0","SE_07_Q1","SE_07_Q1_0022","gemma-4-31b-it","gemini","medium","12","5754","2517","0.0013305","342609","1","200","2026-09-16T21:00:56.622601+00:00"
"SE_07_Q1_0023-0","SE_07_Q1","SE_07_Q1_0023","gemma-4-31b-it","gemini","medium","13","6012","2751","0.0014265","388921","1","200","2026-09-16T21:03:13.058238+00:00"
"SE_07_Q1_0024-0","SE_07_Q1","SE_07_Q1_0024","gemma-4-31b-it","gemini","medium","18","7302","2609","0.0015129000000000002","498171","1","200","2026-09-16T21:08:08.480145+00:00"
"SE_07_Q1_0025-0","SE_07_Q1","SE_07_Q1_0025","gemma-4-31b-it","gemini","medium","17","7044","3872","0.001866","380983","1","200","2026-09-16T21:07:17.803099+00:00"
"SE_07_Q1_0026-0","SE_07_Q1","SE_07_Q1_0026","gemma-4-31b-it","gemini","medium","13","6012","2303","0.0012921","517577","2","200","2026-09-16T21:10:26.510202+00:00"
"SE_07_Q1_0027-0","SE_07_Q1","SE_07_Q1_0027","gemma-4-31b-it","gemini","medium","13","6012","2822","0.0014478","301562","1","200","2026-09-16T21:08:14.784292+00:00"
"SE_07_Q1_0028-0","SE_07_Q1","SE_07_Q1_0028","gemma-4-31b-it","gemini","medium","15","6528","3041","0.0015650999999999998","374000","1","200","2026-09-16T21:11:18.714661+00:00"
"SE_07_Q1_0029-0","SE_07_Q1","SE_07_Q1_0029","gemma-4-31b-it","gemini","medium","17","7044","2461","0.0014426999999999999","261640","1","200","2026-09-16T21:11:39.663175+00:00"
"SE_07_Q1_0030-0","SE_07_Q1","SE_07_Q1_0030","gemma-4-31b-it","gemini","medium","15","6528","2918","0.0015282","461187","2","200","2026-09-16T21:15:49.836233+00:00"
"SE_07_Q1_0031-0","SE_07_Q1","SE_07_Q1_0031","gemma-4-31b-it","gemini","medium","15","6528","2640","0.0014448","372594","1","200","2026-09-16T21:14:27.584011+00:00"
"SE_07_Q1_0032-0","SE_07_Q1","SE_07_Q1_0032","gemma-4-31b-it","gemini","medium","21","8076","2557","0.0015747","318937","1","200","2026-09-16T21:15:45.666878+00:00"
