metric_category,metric_name,metric_value
Hard Cap Classification,Total Samples Evaluated,141
Hard Cap Classification,True Positives (TP - Correctly Capped),4
Hard Cap Classification,False Positives (FP - Capped when GT was not),20
Hard Cap Classification,False Negatives (FN - Missed Cap),16
Hard Cap Classification,True Negatives (TN - Correctly Not Capped),101
Hard Cap Classification,Hard Cap Precision,0.1667 (16.7%)
Hard Cap Classification,Hard Cap Recall,0.2000 (20.0%)
Hard Cap Classification,Hard Cap F1 Score,0.1818
Hard Cap Classification,Hard Cap Overall Accuracy,74.47%
Performance Band Agreement,Exact Band Agreement,28.37%
Performance Band Agreement,Adjacent Band Agreement (±1 Band),95.04%
